,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,Chg,StockPrice,T,ImpliedVolatility (caluclated),Difference
423,2/17/17,2/24/17,45,ATVI,Call,0.58,0.16249,-0.14,45.330002,0.019164956,0.156470947,0.006019053
424,2/17/17,2/24/17,45.5,ATVI,Call,0.33,0.16326,-0.12,45.330002,0.019164956,0.162467193,0.000792807
425,2/17/17,2/24/17,46,ATVI,Call,0.18,0.17453,-0.07,45.330002,0.019164956,0.172103791,0.002426209
426,2/17/17,2/24/17,46.5,ATVI,Call,0.09,0.17819,-0.07,45.330002,0.019164956,0.178707095,-0.000517095
428,2/17/17,2/24/17,47.5,ATVI,Call,0.03,0.20976,-0.01,45.330002,0.019164956,0.208614319,0.001145681
436,2/17/17,2/24/17,43,ATVI,Put,0.04,0.24052,-0.02,45.330002,0.019164956,0.247273791,-0.006753791
440,2/17/17,2/24/17,45,ATVI,Put,0.29,0.1754,-0.17,45.330002,0.019164956,0.17518954,0.00021046
442,2/17/17,2/24/17,46,ATVI,Put,0.88,0.18341,-0.16,45.330002,0.019164956,0.188294714,-0.004884714
460,2/17/17,3/3/17,47,ATVI,Call,0.15,0.18599,-0.11,45.330002,0.038329911,0.189061455,-0.003071455
463,2/17/17,3/3/17,48.5,ATVI,Call,0.15,0.29279,,45.330002,0.038329911,0.288184749,0.004605251
474,2/17/17,3/10/17,46,ATVI,Call,0.59,0.19557,,45.330002,0.057494867,0.201425849,-0.005855849
476,2/17/17,3/10/17,47,ATVI,Call,0.25,0.1859,-0.06,45.330002,0.057494867,0.187461166,-0.001561166
483,2/17/17,3/17/17,44,ATVI,Call,1.78,0.18981,-0.11,45.330002,0.076659822,0.194660838,-0.004850838
484,2/17/17,3/17/17,45,ATVI,Call,1.18,0.20936,-0.03,45.330002,0.076659822,0.199865285,0.009494715
485,2/17/17,3/17/17,46,ATVI,Call,0.7,0.19643,-0.05,45.330002,0.076659822,0.196782966,-0.000352966
486,2/17/17,3/17/17,47,ATVI,Call,0.39,0.18872,-0.03,45.330002,0.076659822,0.197736973,-0.009016973
495,2/17/17,3/24/17,44,ATVI,Call,1.87,0.19498,-0.19,45.330002,0.095824778,0.192321992,0.002658008
498,2/17/17,3/24/17,45.5,ATVI,Call,0.94,0.17945,-0.22,45.330002,0.095824778,0.180573697,-0.001123697
509,2/17/17,3/3/17,43.5,ATVI,Put,0.16,0.20667,-0.11,45.330002,0.038329911,0.214702743,-0.008032743
510,2/17/17,3/3/17,44,ATVI,Put,0.25,0.20241,-0.01,45.330002,0.038329911,0.210127977,-0.007717977
514,2/17/17,3/3/17,46,ATVI,Put,1.11,0.20073,0.13,45.330002,0.038329911,0.20538795,-0.00465795
520,2/17/17,3/10/17,43,ATVI,Put,0.24,0.2481,,45.330002,0.057494867,0.238197062,0.009902938
521,2/17/17,3/10/17,43.5,ATVI,Put,0.28,0.21465,-0.31,45.330002,0.057494867,0.217364031,-0.002714031
523,2/17/17,3/10/17,44.5,ATVI,Put,0.57,0.21031,0.02,45.330002,0.057494867,0.216832206,-0.006522206
532,2/17/17,3/17/17,42,ATVI,Put,0.18,0.24997,,45.330002,0.076659822,0.240596177,0.009373823
533,2/17/17,3/17/17,43,ATVI,Put,0.29,0.21872,-0.02,45.330002,0.076659822,0.221860234,-0.003140234
534,2/17/17,3/17/17,44,ATVI,Put,0.55,0.21872,0.01,45.330002,0.076659822,0.221855359,-0.003135359
535,2/17/17,3/17/17,45,ATVI,Put,0.86,0.2032,-0.02,45.330002,0.076659822,0.205381775,-0.002181775
536,2/17/17,3/17/17,46,ATVI,Put,1.42,0.21509,-0.04,45.330002,0.076659822,0.21063727,0.00445273
537,2/17/17,3/17/17,47,ATVI,Put,2.13,0.21039,-0.08,45.330002,0.076659822,0.218691617,-0.008301617
541,2/17/17,3/24/17,42,ATVI,Put,0.29,0.24997,,45.330002,0.095824778,0.251399838,-0.001429838
543,2/17/17,3/24/17,43,ATVI,Put,0.4,0.21872,,45.330002,0.095824778,0.226694202,-0.007974202
544,2/17/17,3/24/17,43.5,ATVI,Put,0.6,0.24997,,45.330002,0.095824778,0.241682052,0.008287948
545,2/17/17,3/24/17,44,ATVI,Put,0.62,0.21872,,45.330002,0.095824778,0.212931262,0.005788738
546,2/17/17,3/24/17,44.5,ATVI,Put,0.78,0.21298,,45.330002,0.095824778,0.20852481,0.00445519
547,2/17/17,3/24/17,45,ATVI,Put,1.03,0.20612,0.02,45.330002,0.095824778,0.214801715,-0.008681715
555,2/17/17,5/19/17,42,ATVI,Call,4,0.20944,-0.3,45.330002,0.249144422,0.211212524,-0.001772524
556,2/17/17,5/19/17,43,ATVI,Call,3.56,0.24112,,45.330002,0.249144422,0.2462514,-0.0051314
557,2/17/17,5/19/17,44,ATVI,Call,2.95,0.23824,0.1,45.330002,0.249144422,0.246358307,-0.008118307
561,2/17/17,5/19/17,48,ATVI,Call,1.19,0.24997,-0.03,45.330002,0.249144422,0.243503702,0.006466298
566,2/17/17,5/19/17,44,ATVI,Put,1.87,0.27589,-0.06,45.330002,0.249144422,0.281695647,-0.005805647
569,2/17/17,5/19/17,47,ATVI,Put,3.6,0.30505,0.05,45.330002,0.249144422,0.296217612,0.008832388
571,2/17/17,5/19/17,49,ATVI,Put,4.9,0.28968,,45.330002,0.249144422,0.290573067,-0.000893067
579,2/17/17,8/18/17,48,ATVI,Call,2.14,0.24997,-0.13,45.330002,0.498288843,0.248589912,0.001380088
580,2/17/17,8/18/17,49,ATVI,Call,1.81,0.24997,-0.13,45.330002,0.498288843,0.247969888,0.002000112
582,2/17/17,8/18/17,42,ATVI,Put,2.09,0.2904,-0.05,45.330002,0.498288843,0.289351117,0.001048883
622,2/17/17,3/17/17,110,ADBE,Put,0.5,0.2666,-0.07,119.669998,0.076659822,0.262105712,0.004494288
623,2/17/17,3/17/17,115,ADBE,Put,1.29,0.24542,-0.27,119.669998,0.076659822,0.238701305,0.006718695
628,2/17/17,4/21/17,115,ADBE,Call,6.78,0.20888,0.28,119.669998,0.1724846,0.203117091,0.005762909
633,2/17/17,4/21/17,115,ADBE,Put,2.25,0.21872,-0.15,119.669998,0.1724846,0.2168538,0.0018662
640,2/17/17,7/21/17,125,ADBE,Call,4.59,0.22132,0.25,119.669998,0.421629021,0.21584543,0.00547457
641,2/17/17,7/21/17,130,ADBE,Call,2.77,0.207,0.07,119.669998,0.421629021,0.205139978,0.001860022
645,2/17/17,7/21/17,125,ADBE,Put,9.7,0.22625,-4.15,119.669998,0.421629021,0.217275849,0.008974151
646,2/17/17,7/21/17,130,ADBE,Put,13.35,0.21872,,119.669998,0.421629021,0.22437734,-0.00565734
651,2/17/17,1/19/18,130,ADBE,Call,6.92,0.22542,-0.03,119.669998,0.919917864,0.233866758,-0.008446758
653,2/17/17,1/19/18,115,ADBE,Put,8.75,0.24962,-0.05,119.669998,0.919917864,0.249695305,-7.53E-05
655,2/17/17,1/19/18,125,ADBE,Put,14.1,0.24769,,119.669998,0.919917864,0.248294357,-0.000604357
662,2/17/17,1/18/19,110,ADBE,Put,15.45,0.32172,,119.669998,1.916495551,0.325501809,-0.003781809
681,2/17/17,8/18/17,23,ADTN,Call,1.15,0.27822,,21.700001,0.498288843,0.270858444,0.007361556
687,2/17/17,7/21/17,12.5,ADRO,Call,2,0.74051,,11.8,0.421629021,0.745740612,-0.005230612
691,2/17/17,3/17/17,65,AEIS,Put,3.83,0.22311,,61.560001,0.076659822,0.223870528,-0.000760528
692,2/17/17,4/21/17,60,AEIS,Call,4,0.31472,,61.560001,0.1724846,0.31100922,0.00371078
693,2/17/17,4/21/17,65,AEIS,Call,1.45,0.26977,,61.560001,0.1724846,0.269812009,-4.20E-05
698,2/17/17,7/21/17,60,AEIS,Put,3.9,0.2891,,61.560001,0.421629021,0.298996708,-0.009896708
706,2/17/17,2/24/17,12.5,AMD,Put,0.08,0.41802,-0.05,13.13,0.019164956,0.415353415,0.002666585
712,2/17/17,3/3/17,13,AMD,Call,0.52,0.43714,0.06,13.13,0.038329911,0.441813985,-0.004673985
713,2/17/17,3/3/17,13.5,AMD,Call,0.32,0.45949,0.03,13.13,0.038329911,0.463295498,-0.003805498
721,2/17/17,3/17/17,13,AMD,Call,0.77,0.49311,0.07,13.13,0.076659822,0.485826928,0.007283072
722,2/17/17,3/17/17,14,AMD,Call,0.38,0.49846,0.05,13.13,0.076659822,0.489558512,0.008901488
733,2/17/17,3/10/17,12,AMD,Put,0.18,0.4806,-0.04,13.13,0.057494867,0.481937692,-0.001337692
741,2/17/17,3/24/17,12,AMD,Put,0.33,0.50425,-0.02,13.13,0.095824778,0.495845256,0.008404744
742,2/17/17,3/24/17,12.5,AMD,Put,0.5,0.49334,-0.05,13.13,0.095824778,0.491612938,0.001727062
744,2/17/17,3/24/17,13.5,AMD,Put,1.05,0.51403,-0.07,13.13,0.095824778,0.521284868,-0.007254868
809,2/17/17,2/24/17,19.5,AGNC,Put,0.23,0.20382,,19.49,0.019164956,0.209838981,-0.006018981
838,2/17/17,3/17/17,21,AGNC,Put,1.71,0.31909,-0.03,19.49,0.076659822,0.324282248,-0.005192248
848,2/17/17,6/16/17,19,AGNC,Put,0.72,0.21872,-0.03,19.49,0.325804244,0.218938392,-0.000218392
895,2/17/17,2/24/17,64,AKAM,Call,0.17,0.20385,-0.65,62.34,0.019164956,0.203826699,2.33E-05
898,2/17/17,2/24/17,65.5,AKAM,Call,0.03,0.20416,-0.27,62.34,0.019164956,0.204821135,-0.000661135
900,2/17/17,2/24/17,66.5,AKAM,Call,0.18,0.37646,,62.34,0.019164956,0.379995163,-0.003535163
905,2/17/17,2/24/17,59,AKAM,Put,0.12,0.30582,,62.34,0.019164956,0.308486564,-0.002666564
909,2/17/17,2/24/17,61.5,AKAM,Put,0.32,0.18724,0.16,62.34,0.019164956,0.192515653,-0.005275653
934,2/17/17,3/3/17,66.5,AKAM,Call,0.1,0.22365,-0.12,62.34,0.038329911,0.230342912,-0.006692912
953,2/17/17,3/17/17,60,AKAM,Call,2.95,0.21641,-1.55,62.34,0.076659822,0.218786904,-0.002376904
964,2/17/17,3/24/17,64,AKAM,Call,1.13,0.23086,-0.66,62.34,0.095824778,0.234760214,-0.003900214
968,2/17/17,3/24/17,66,AKAM,Call,0.43,0.20857,-0.54,62.34,0.095824778,0.207804283,0.000765717
979,2/17/17,3/3/17,61,AKAM,Put,0.49,0.21779,,62.34,0.038329911,0.213363774,0.004426226
993,2/17/17,3/10/17,57.5,AKAM,Put,0.17,0.25943,,62.34,0.057494867,0.260200544,-0.000770544
996,2/17/17,3/10/17,59.5,AKAM,Put,0.33,0.21855,0.16,62.34,0.057494867,0.220281613,-0.001731613
1000,2/17/17,3/10/17,61.5,AKAM,Put,0.86,0.21024,0.44,62.34,0.057494867,0.209740172,0.000499828
1001,2/17/17,3/10/17,62,AKAM,Put,1.09,0.219,0.34,62.34,0.057494867,0.212062604,0.006937396
1012,2/17/17,3/17/17,60,AKAM,Put,0.67,0.22625,0.28,62.34,0.076659822,0.233660405,-0.007410405
1019,2/17/17,3/24/17,59,AKAM,Put,0.46,0.21872,,62.34,0.095824778,0.215744995,0.002975005
1020,2/17/17,3/24/17,60,AKAM,Put,0.8,0.22922,0.33,62.34,0.095824778,0.229528179,-0.000308179
1027,2/17/17,3/24/17,64,AKAM,Put,2.6,0.21872,0.6,62.34,0.095824778,0.212844151,0.005875849
1046,2/17/17,8/18/17,67.5,AKAM,Call,3.49,0.30494,-1.11,62.34,0.498288843,0.309547386,-0.004607386
1081,2/17/17,6/16/17,22.5,AKRX,Call,2.2,0.50913,,21.780001,0.325804244,0.503412946,0.005717054
1087,2/17/17,1/19/18,20,AKRX,Call,5,0.51119,,21.780001,0.919917864,0.506098368,0.005091632
1089,2/17/17,1/19/18,20,AKRX,Put,3.2,0.51653,,21.780001,0.919917864,0.515539405,0.000990595
1100,2/17/17,9/15/17,27.5,ALRM,Put,3.1,0.46793,,29.27,0.574948665,0.463900209,0.004029791
1128,2/17/17,2/24/17,128,ALXN,Call,2.44,0.27373,-1.49,128.820007,0.019164956,0.28152449,-0.00779449
1145,2/17/17,2/24/17,123,ALXN,Put,0.45,0.3194,0.4,128.820007,0.019164956,0.326052357,-0.006652357
1179,2/17/17,3/10/17,135,ALXN,Call,1.4,0.28449,-2.9,128.820007,0.057494867,0.292179027,-0.007689027
1181,2/17/17,3/10/17,140,ALXN,Call,0.6,0.29157,-1,128.820007,0.057494867,0.300604127,-0.009034127
1183,2/17/17,3/17/17,125,ALXN,Call,6.7,0.33113,-1.55,128.820007,0.076659822,0.321510601,0.009619399
1185,2/17/17,3/17/17,135,ALXN,Call,1.82,0.28664,-0.93,128.820007,0.076659822,0.287788699,-0.001148699
1188,2/17/17,3/24/17,128,ALXN,Call,5.4,0.31079,,128.820007,0.095824778,0.312144199,-0.001354199
1198,2/17/17,3/3/17,122,ALXN,Put,2,0.47679,,128.820007,0.038329911,0.474145519,0.002644481
1219,2/17/17,3/17/17,120,ALXN,Put,1.8,0.36346,0.7,128.820007,0.076659822,0.367178976,-0.003718976
1229,2/17/17,5/19/17,120,ALXN,Call,14.2,0.36611,-4.81,128.820007,0.249144422,0.364744197,0.001365803
1231,2/17/17,5/19/17,130,ALXN,Call,8,0.33039,-2.82,128.820007,0.249144422,0.330406929,-1.69E-05
1233,2/17/17,5/19/17,140,ALXN,Call,4.8,0.35431,-0.9,128.820007,0.249144422,0.347707567,0.006602433
1234,2/17/17,5/19/17,120,ALXN,Put,6,0.3989,1,128.820007,0.249144422,0.398311732,0.000588268
1242,2/17/17,8/18/17,135,ALXN,Call,10.7,0.35885,-4.7,128.820007,0.498288843,0.362772826,-0.003922826
1258,2/17/17,1/18/19,120,ALXN,Call,24,0.27424,,128.820007,1.916495551,0.273647816,0.000592184
1267,2/17/17,3/17/17,95,ALGN,Call,7.2,0.21838,1,101.769997,0.076659822,0.222015316,-0.003635316
1274,2/17/17,4/21/17,95,ALGN,Call,8.1,0.22492,0.94,101.769997,0.1724846,0.2278843,-0.0029643
1278,2/17/17,4/21/17,95,ALGN,Put,1.55,0.24313,-0.3,101.769997,0.1724846,0.251611492,-0.008481492
1286,2/17/17,7/21/17,95,ALGN,Put,5.1,0.31827,,101.769997,0.421629021,0.319363708,-0.001093708
1288,2/17/17,7/21/17,105,ALGN,Put,9.6,0.28981,,101.769997,0.421629021,0.299742919,-0.009932919
1292,2/17/17,3/17/17,50,ALKS,Put,0.83,0.43731,-0.17,54.57,0.076659822,0.42954752,0.00776248
1293,2/17/17,3/17/17,55,ALKS,Put,2.63,0.39059,0.23,54.57,0.076659822,0.400198082,-0.009608082
1300,2/17/17,5/19/17,60,ALKS,Put,8.56,0.48318,,54.57,0.249144422,0.481375919,0.001804081
1305,2/17/17,8/18/17,55,ALKS,Put,6.56,0.421,0.49,54.57,0.498288843,0.417657442,0.003342558
1318,2/17/17,3/17/17,175,ALGT,Put,8.47,0.35248,,171.399994,0.076659822,0.342711761,0.009768239
1325,2/17/17,4/21/17,185,ALGT,Call,3.4,0.28983,,171.399994,0.1724846,0.287620912,0.002209088
1358,2/17/17,3/17/17,25,AMOT,Call,0.5,0.44712,,23.24,0.076659822,0.440955846,0.006164154
1367,2/17/17,9/15/17,5,ALLT,Put,0.67,0.42546,,4.92,0.574948665,0.426788985,-0.001328985
1390,2/17/17,3/17/17,50,ALNY,Put,4.1,0.57655,-0.7,48.279999,0.076659822,0.58620261,-0.00965261
1398,2/17/17,10/20/17,45,ALNY,Call,11.44,0.64287,,48.279999,0.670773443,0.640341698,0.002528302
1401,2/17/17,1/19/18,50,ALNY,Call,11.4,0.66544,,48.279999,0.919917864,0.657449645,0.007990355
1443,2/17/17,2/24/17,842.5,GOOG,Call,0.51,0.09636,-0.19,828.070007,0.019164956,0.095838047,0.000521953
1449,2/17/17,2/24/17,860,GOOG,Call,0.1,0.13591,-0.05,828.070007,0.019164956,0.13018236,0.00572764
1464,2/17/17,2/24/17,770,GOOG,Put,0.19,0.24997,,828.070007,0.019164956,0.252637363,-0.002667363
1465,2/17/17,2/24/17,772.5,GOOG,Put,0.1,0.21872,-6.2,828.070007,0.019164956,0.221966182,-0.003246182
1471,2/17/17,2/24/17,787.5,GOOG,Put,0.85,0.2487,,828.070007,0.019164956,0.246176541,0.002523459
1473,2/17/17,2/24/17,792.5,GOOG,Put,0.16,0.15368,-0.8,828.070007,0.019164956,0.160330329,-0.006650329
1474,2/17/17,2/24/17,795,GOOG,Put,0.25,0.1634,-0.58,828.070007,0.019164956,0.162468155,0.000931845
1475,2/17/17,2/24/17,797.5,GOOG,Put,0.51,0.17761,-0.26,828.070007,0.019164956,0.175267237,0.002342763
1481,2/17/17,2/24/17,812.5,GOOG,Put,0.94,0.12759,-2.24,828.070007,0.019164956,0.123808963,0.003781037
1484,2/17/17,2/24/17,820,GOOG,Put,2.13,0.11406,-1.87,828.070007,0.019164956,0.114801321,-0.000741321
1485,2/17/17,2/24/17,822.5,GOOG,Put,2.8,0.10825,-1.9,828.070007,0.019164956,0.112732846,-0.004482846
1486,2/17/17,2/24/17,825,GOOG,Put,3.53,0.10511,-2.87,828.070007,0.019164956,0.108352506,-0.003242506
1487,2/17/17,2/24/17,827.5,GOOG,Put,4.9,0.10994,-3.62,828.070007,0.019164956,0.114147473,-0.004207473
1515,2/17/17,3/3/17,815,GOOG,Call,15.4,0.11137,3.83,828.070007,0.038329911,0.106758649,0.004611351
1517,2/17/17,3/3/17,820,GOOG,Call,12,0.11345,1,828.070007,0.038329911,0.111037279,0.002412721
1518,2/17/17,3/3/17,822.5,GOOG,Call,10.8,0.11345,1.3,828.070007,0.038329911,0.117841874,-0.004391874
1520,2/17/17,3/3/17,827.5,GOOG,Call,7.11,0.10742,0.85,828.070007,0.038329911,0.104250126,0.003169874
1521,2/17/17,3/3/17,830,GOOG,Call,6.5,0.11531,0.5,828.070007,0.038329911,0.113547529,0.001762471
1526,2/17/17,3/3/17,842.5,GOOG,Call,2.39,0.11673,-0.01,828.070007,0.038329911,0.114200422,0.002529578
1534,2/17/17,3/3/17,867.5,GOOG,Call,0.68,0.1597,,828.070007,0.038329911,0.153575052,0.006124948
1556,2/17/17,3/10/17,830,GOOG,Call,8.7,0.12356,0.7,828.070007,0.057494867,0.120088047,0.003471953
1558,2/17/17,3/10/17,835,GOOG,Call,6.7,0.11668,0.4,828.070007,0.057494867,0.121708691,-0.005028691
1559,2/17/17,3/10/17,837.5,GOOG,Call,5.2,0.11701,0.62,828.070007,0.057494867,0.113789475,0.003220525
1561,2/17/17,3/10/17,842.5,GOOG,Call,3.56,0.11668,,828.070007,0.057494867,0.111597787,0.005082213
1563,2/17/17,3/10/17,847.5,GOOG,Call,2.7,0.11668,,828.070007,0.057494867,0.116241598,0.000438402
1570,2/17/17,3/10/17,867.5,GOOG,Call,1.05,0.136,,828.070007,0.057494867,0.138500258,-0.002500258
1572,2/17/17,3/10/17,890,GOOG,Call,0.35,0.15795,,828.070007,0.057494867,0.157030656,0.000919344
1585,2/17/17,3/17/17,810,GOOG,Call,23.2,0.12565,1.6,828.070007,0.076659822,0.130496925,-0.004846925
1599,2/17/17,3/17/17,880,GOOG,Call,0.55,0.1221,-0.02,828.070007,0.076659822,0.128190543,-0.006090543
1604,2/17/17,3/17/17,905,GOOG,Call,0.15,0.14627,,828.070007,0.076659822,0.14275782,0.00351218
1613,2/17/17,3/24/17,815,GOOG,Call,18.93,0.10438,,828.070007,0.095824778,0.107504505,-0.003124505
1617,2/17/17,3/24/17,825,GOOG,Call,14.78,0.13335,2.68,828.070007,0.095824778,0.127142365,0.006207635
1619,2/17/17,3/24/17,830,GOOG,Call,12.5,0.13335,1.3,828.070007,0.095824778,0.129478153,0.003871847
1620,2/17/17,3/24/17,840,GOOG,Call,7.6,0.11978,0.43,828.070007,0.095824778,0.121681839,-0.001901839
1622,2/17/17,3/24/17,850,GOOG,Call,4.7,0.11668,0.42,828.070007,0.095824778,0.122180489,-0.005500489
1623,2/17/17,3/24/17,860,GOOG,Call,3.15,0.13468,0.5,828.070007,0.095824778,0.128719463,0.005960537
1627,2/17/17,3/3/17,757.5,GOOG,Put,0.61,0.24997,,828.070007,0.038329911,0.257249259,-0.007279259
1632,2/17/17,3/3/17,770,GOOG,Put,0.4,0.19337,-0.2,828.070007,0.038329911,0.20166241,-0.00829241
1639,2/17/17,3/3/17,787.5,GOOG,Put,0.68,0.16792,-0.81,828.070007,0.038329911,0.16584345,0.00207655
1641,2/17/17,3/3/17,792.5,GOOG,Put,1.65,0.1902,,828.070007,0.038329911,0.187054125,0.003145875
1642,2/17/17,3/3/17,795,GOOG,Put,0.99,0.16214,-0.64,828.070007,0.038329911,0.154282685,0.007857315
1643,2/17/17,3/3/17,797.5,GOOG,Put,1.15,0.14627,-1.75,828.070007,0.038329911,0.151228521,-0.004958521
1647,2/17/17,3/3/17,807.5,GOOG,Put,2.05,0.13626,-6.95,828.070007,0.038329911,0.137570388,-0.001310388
1650,2/17/17,3/3/17,815,GOOG,Put,3.5,0.13028,-1.73,828.070007,0.038329911,0.132979141,-0.002699141
1653,2/17/17,3/3/17,822.5,GOOG,Put,5.96,0.13214,-5.24,828.070007,0.038329911,0.132181658,-4.17E-05
1664,2/17/17,3/10/17,750,GOOG,Put,0.56,0.21865,,828.070007,0.057494867,0.225923075,-0.007273075
1670,2/17/17,3/10/17,767.5,GOOG,Put,0.85,0.19054,-0.3,828.070007,0.057494867,0.197183955,-0.006643955
1673,2/17/17,3/10/17,775,GOOG,Put,1,0.18839,,828.070007,0.057494867,0.183293226,0.005096774
1677,2/17/17,3/10/17,785,GOOG,Put,1.25,0.16372,-0.25,828.070007,0.057494867,0.163897586,-0.000177586
1680,2/17/17,3/10/17,792.5,GOOG,Put,1.58,0.14682,-1.42,828.070007,0.057494867,0.15108326,-0.00426326
1682,2/17/17,3/10/17,797.5,GOOG,Put,1.97,0.14529,-2.18,828.070007,0.057494867,0.144853651,0.000436349
1684,2/17/17,3/10/17,802.5,GOOG,Put,2.69,0.14879,-15.71,828.070007,0.057494867,0.143009918,0.005780082
1687,2/17/17,3/10/17,810,GOOG,Put,3.81,0.14086,-2.29,828.070007,0.057494867,0.134375319,0.006484681
1695,2/17/17,3/17/17,755,GOOG,Put,0.81,0.18939,-0.15,828.070007,0.076659822,0.19810946,-0.00871946
1696,2/17/17,3/17/17,760,GOOG,Put,0.75,0.19035,-0.24,828.070007,0.076659822,0.183779479,0.006570521
1697,2/17/17,3/17/17,765,GOOG,Put,0.94,0.17896,-0.21,828.070007,0.076659822,0.180510488,-0.001550488
1699,2/17/17,3/17/17,775,GOOG,Put,1.32,0.16259,-0.28,828.070007,0.076659822,0.169503524,-0.006913524
1701,2/17/17,3/17/17,785,GOOG,Put,1.75,0.15743,-0.66,828.070007,0.076659822,0.15532574,0.00210426
1705,2/17/17,3/17/17,805,GOOG,Put,4.62,0.14627,-1.08,828.070007,0.076659822,0.145615256,0.000654744
1708,2/17/17,3/17/17,820,GOOG,Put,8.48,0.1387,-3.42,828.070007,0.076659822,0.134257807,0.004442193
1709,2/17/17,3/17/17,825,GOOG,Put,10.57,0.12844,-2.63,828.070007,0.076659822,0.133535354,-0.005095354
1710,2/17/17,3/17/17,830,GOOG,Put,12.98,0.13205,-2.62,828.070007,0.076659822,0.13279107,-0.00074107
1711,2/17/17,3/17/17,835,GOOG,Put,16.93,0.14722,-5.72,828.070007,0.076659822,0.145556832,0.001663168
1713,2/17/17,3/17/17,845,GOOG,Put,22.04,0.12736,-11.96,828.070007,0.076659822,0.129315014,-0.001955014
1724,2/17/17,3/24/17,760,GOOG,Put,1.2,0.18071,-0.2,828.070007,0.095824778,0.181363688,-0.000653688
1734,2/17/17,3/24/17,787.5,GOOG,Put,3.19,0.15253,-5.96,828.070007,0.095824778,0.160137332,-0.007607332
1739,2/17/17,3/24/17,800,GOOG,Put,4.8,0.15533,-1.2,828.070007,0.095824778,0.148283804,0.007046196
